ts,book,equity
2026-09-22T15:00:51.126475+00:00,guarded,10196.101311318005
2026-09-22T15:00:51.127829+00:00,shadow,10245.953788137049
2026-09-22T15:15:38.301427+00:00,guarded,10196.101311318005
2026-09-22T15:15:38.302555+00:00,shadow,10245.953788137049
2026-09-22T15:30:44.242313+00:00,guarded,10196.101311318005
2026-09-22T15:30:44.243599+00:00,shadow,10245.953788137049
2026-09-22T15:45:36.972027+00:00,guarded,10196.101311318005
2026-09-22T15:45:36.973304+00:00,shadow,10245.953788137049
2026-09-22T16:00:46.881321+00:00,guarded,10196.101311318005
2026-09-22T16:00:46.882641+00:00,shadow,10245.953788137049
2026-09-22T16:15:46.265130+00:00,guarded,10196.101311318005
2026-09-22T16:15:46.267446+00:00,shadow,10245.953788137049
2026-09-22T16:30:42.515479+00:00,guarded,10196.101311318005
2026-09-22T16:30:42.516800+00:00,shadow,10245.953788137049
2026-09-22T16:45:50.067229+00:00,guarded,10196.101311318005
2026-09-22T16:45:50.136883+00:00,shadow,10245.953788137049
2026-09-22T17:00:43.140292+00:00,guarded,10196.101311318005
2026-09-22T17:00:43.141572+00:00,shadow,10245.953788137049
2026-09-22T17:15:40.233277+00:00,guarded,10196.101311318005
2026-09-22T17:15:40.234650+00:00,shadow,10245.953788137049
2026-09-22T17:30:38.571586+00:00,guarded,10196.101311318005
2026-09-22T17:30:38.573203+00:00,shadow,10245.953788137049
2026-09-22T17:45:36.946591+00:00,guarded,10196.101311318005
2026-09-22T17:45:36.947725+00:00,shadow,10245.953788137049
2026-09-22T18:00:43.861483+00:00,guarded,10196.101311318005
2026-09-22T18:00:43.862974+00:00,shadow,10245.953788137049
2026-09-22T18:15:48.186051+00:00,guarded,10196.101311318005
2026-09-22T18:15:48.187677+00:00,shadow,10245.953788137049
2026-09-22T18:30:56.386397+00:00,guarded,10196.101311318005
2026-09-22T18:30:56.387802+00:00,shadow,10245.953788137049
2026-09-22T18:45:42.588148+00:00,guarded,10196.101311318005
2026-09-22T18:45:42.590049+00:00,shadow,10245.953788137049
2026-09-22T18:46:16.549548+00:00,guarded,10196.101311318005
2026-09-22T18:46:16.550934+00:00,shadow,10245.953788137049
2026-09-22T19:00:41.075759+00:00,guarded,10196.101311318005
2026-09-22T19:00:41.082917+00:00,shadow,10245.953788137049
2026-09-22T19:15:40.685527+00:00,guarded,10196.101311318005
2026-09-22T19:15:40.686567+00:00,shadow,10245.953788137049
2026-09-22T19:30:40.737906+00:00,guarded,10196.101311318005
2026-09-22T19:30:40.739723+00:00,shadow,10245.953788137049
2026-09-22T19:45:37.157339+00:00,guarded,10196.101311318005
2026-09-22T19:45:37.158392+00:00,shadow,10245.953788137049
2026-09-22T20:00:38.718873+00:00,guarded,10196.101311318005
2026-09-22T20:00:38.720658+00:00,shadow,10245.953788137049
2026-09-22T20:15:36.660679+00:00,guarded,10196.101311318005
2026-09-22T20:15:36.661945+00:00,shadow,10245.953788137049
2026-09-22T20:30:51.365848+00:00,guarded,10196.101311318005
2026-09-22T20:30:51.367453+00:00,shadow,10245.953788137049
2026-09-22T20:45:39.391931+00:00,guarded,10196.101311318005
2026-09-22T20:45:39.393206+00:00,shadow,10245.953788137049
2026-09-22T21:00:41.528325+00:00,guarded,10196.101311318005
2026-09-22T21:00:41.529617+00:00,shadow,10245.953788137049
2026-09-22T21:15:38.174592+00:00,guarded,10196.101311318005
2026-09-22T21:15:38.175589+00:00,shadow,10245.953788137049
2026-09-22T21:31:14.435915+00:00,guarded,10196.101311318005
2026-09-22T21:31:14.437134+00:00,shadow,10245.953788137049
2026-09-22T21:45:38.942678+00:00,guarded,10196.101311318005
2026-09-22T21:45:38.944391+00:00,shadow,10245.953788137049
2026-09-22T21:59:42.797181+00:00,guarded,10196.101311318005
2026-09-22T21:59:42.798512+00:00,shadow,10245.953788137049
2026-09-22T22:00:40.288226+00:00,guarded,10196.101311318005
2026-09-22T22:00:40.289419+00:00,shadow,10245.953788137049
2026-09-22T22:15:43.383616+00:00,guarded,10196.101311318005
2026-09-22T22:15:43.384825+00:00,shadow,10245.953788137049
2026-09-22T22:30:38.307243+00:00,guarded,10196.101311318005
2026-09-22T22:30:38.308445+00:00,shadow,10245.953788137049
2026-09-22T22:45:38.716494+00:00,guarded,10196.101311318005
2026-09-22T22:45:38.717839+00:00,shadow,10245.953788137049
2026-09-22T23:00:46.711412+00:00,guarded,10196.101311318005
2026-09-22T23:00:46.712512+00:00,shadow,10245.953788137049
2026-09-22T23:15:39.013956+00:00,guarded,10196.101311318005
2026-09-22T23:15:39.015230+00:00,shadow,10245.953788137049
2026-09-22T23:30:38.400684+00:00,guarded,10196.101311318005
2026-09-22T23:30:38.401929+00:00,shadow,10245.953788137049
2026-09-22T23:45:47.228878+00:00,guarded,10196.101311318005
2026-09-22T23:45:47.230020+00:00,shadow,10245.953788137049
2026-09-23T00:00:37.008530+00:00,guarded,10196.101311318005
2026-09-23T00:00:37.009860+00:00,shadow,10245.953788137049
2026-09-23T00:15:33.414969+00:00,guarded,10196.101311318005
2026-09-23T00:15:33.489743+00:00,shadow,10245.953788137049
2026-09-23T00:20:36.655699+00:00,guarded,10196.101311318005
2026-09-23T00:20:36.657399+00:00,shadow,10245.953788137049
2026-09-23T00:31:18.196361+00:00,guarded,10196.101311318005
2026-09-23T00:31:18.197544+00:00,shadow,10245.953788137049
2026-09-23T00:45:44.359383+00:00,guarded,10196.101311318005
2026-09-23T00:45:44.486497+00:00,shadow,10245.953788137049
2026-09-23T01:00:40.810470+00:00,guarded,10196.101311318005
2026-09-23T01:00:40.811834+00:00,shadow,10245.953788137049
2026-09-23T01:15:39.366510+00:00,guarded,10196.101311318005
2026-09-23T01:15:39.368167+00:00,shadow,10245.953788137049
2026-09-23T01:30:38.608730+00:00,guarded,10196.101311318005
2026-09-23T01:30:38.610005+00:00,shadow,10245.953788137049
2026-09-23T01:45:37.608782+00:00,guarded,10196.101311318005
2026-09-23T01:45:37.610018+00:00,shadow,10245.953788137049
2026-09-23T02:00:41.226875+00:00,guarded,10196.101311318005
2026-09-23T02:00:41.228088+00:00,shadow,10245.953788137049
2026-09-23T02:15:41.362196+00:00,guarded,10196.101311318005
2026-09-23T02:15:41.409652+00:00,shadow,10245.953788137049
2026-09-23T02:30:36.787802+00:00,guarded,10196.101311318005
2026-09-23T02:30:36.788978+00:00,shadow,10245.953788137049
2026-09-23T02:45:34.611075+00:00,guarded,10196.101311318005
2026-09-23T02:45:34.612596+00:00,shadow,10245.953788137049
2026-09-23T03:00:42.458697+00:00,guarded,10196.101311318005
2026-09-23T03:00:42.459832+00:00,shadow,10245.953788137049
2026-09-23T03:15:35.054158+00:00,guarded,10196.101311318005
2026-09-23T03:15:35.055349+00:00,shadow,10245.953788137049
2026-09-23T03:30:45.805541+00:00,guarded,10196.101311318005
2026-09-23T03:30:45.806726+00:00,shadow,10245.953788137049
2026-09-23T03:45:37.017931+00:00,guarded,10196.101311318005
2026-09-23T03:45:37.019280+00:00,shadow,10245.953788137049
2026-09-23T04:00:59.466401+00:00,guarded,10196.101311318005
2026-09-23T04:00:59.467497+00:00,shadow,10245.953788137049
2026-09-23T04:15:40.924753+00:00,guarded,10196.101311318005
2026-09-23T04:15:40.926055+00:00,shadow,10245.953788137049
2026-09-23T04:30:37.994173+00:00,guarded,10196.101311318005
2026-09-23T04:30:37.995576+00:00,shadow,10245.953788137049
2026-09-23T04:45:39.632577+00:00,guarded,10196.101311318005
2026-09-23T04:45:39.634131+00:00,shadow,10245.953788137049
2026-09-23T05:00:41.488626+00:00,guarded,10196.101311318005
2026-09-23T05:00:41.490270+00:00,shadow,10245.953788137049
2026-09-23T05:15:36.626827+00:00,guarded,10196.101311318005
2026-09-23T05:15:36.627994+00:00,shadow,10245.953788137049
2026-09-23T05:30:41.225011+00:00,guarded,10196.101311318005
2026-09-23T05:30:41.226115+00:00,shadow,10245.953788137049
2026-09-23T05:45:36.286376+00:00,guarded,10196.101311318005
2026-09-23T05:45:36.287618+00:00,shadow,10245.953788137049
2026-09-23T05:51:14.726870+00:00,guarded,10196.101311318005
2026-09-23T05:51:14.728196+00:00,shadow,10245.953788137049
2026-09-23T06:00:39.707540+00:00,guarded,10196.101311318005
2026-09-23T06:00:39.708916+00:00,shadow,10245.953788137049
2026-09-23T06:15:39.299185+00:00,guarded,10196.101311318005
2026-09-23T06:15:39.300284+00:00,shadow,10245.953788137049
2026-09-23T06:30:39.677251+00:00,guarded,10196.101311318005
2026-09-23T06:30:39.679254+00:00,shadow,10245.953788137049
2026-09-23T06:45:39.322336+00:00,guarded,10196.101311318005
2026-09-23T06:45:39.323818+00:00,shadow,10245.953788137049
2026-09-23T07:00:52.434524+00:00,guarded,10196.101311318005
2026-09-23T07:00:52.437051+00:00,shadow,10245.953788137049
2026-09-23T07:15:40.426408+00:00,guarded,10196.101311318005
2026-09-23T07:15:40.427756+00:00,shadow,10245.953788137049
2026-09-23T07:30:39.460196+00:00,guarded,10196.101311318005
2026-09-23T07:30:39.461380+00:00,shadow,10245.953788137049
2026-09-23T07:45:38.591100+00:00,guarded,10196.101311318005
2026-09-23T07:45:38.592682+00:00,shadow,10245.953788137049
2026-09-23T08:00:44.940924+00:00,guarded,10196.101311318005
2026-09-23T08:00:44.942499+00:00,shadow,10245.953788137049
2026-09-23T08:16:13.882726+00:00,guarded,10196.101311318005
2026-09-23T08:16:13.883914+00:00,shadow,10245.953788137049
2026-09-23T08:30:42.781921+00:00,guarded,10196.101311318005
2026-09-23T08:30:42.794903+00:00,shadow,10245.953788137049
2026-09-23T08:45:41.855101+00:00,guarded,10196.101311318005
2026-09-23T08:45:41.856292+00:00,shadow,10245.953788137049
2026-09-23T09:00:42.822158+00:00,guarded,10196.101311318005
2026-09-23T09:00:42.823501+00:00,shadow,10245.953788137049
2026-09-23T09:15:38.431327+00:00,guarded,10196.101311318005
2026-09-23T09:15:38.432808+00:00,shadow,10245.953788137049
2026-09-23T09:30:44.785935+00:00,guarded,10196.101311318005
2026-09-23T09:30:44.787186+00:00,shadow,10245.953788137049
2026-09-23T09:45:37.057009+00:00,guarded,10196.101311318005
2026-09-23T09:45:37.065315+00:00,shadow,10245.953788137049
2026-09-23T10:00:42.334438+00:00,guarded,10196.101311318005
2026-09-23T10:00:42.335473+00:00,shadow,10245.953788137049
2026-09-23T10:15:40.851027+00:00,guarded,10196.101311318005
2026-09-23T10:15:40.852199+00:00,shadow,10245.953788137049
2026-09-23T10:30:32.275141+00:00,guarded,10196.101311318005
2026-09-23T10:30:32.276237+00:00,shadow,10245.953788137049
2026-09-23T10:45:37.230473+00:00,guarded,10196.101311318005
2026-09-23T10:45:37.231997+00:00,shadow,10245.953788137049
2026-09-23T11:00:40.499505+00:00,guarded,10196.101311318005
2026-09-23T11:00:40.500742+00:00,shadow,10245.953788137049
